Variable,Peaks,Min_Diff,Sugg_Input,Voltage_File,Experiment,Limit_Size
holo,0,0,6,BMI,191009_NVI13_D14,False
frames,76247,0,1,HoloVTA_pretrain,191009_NVI13_D14,False
reward,101,0,5,HoloVTA_pretrain,191009_NVI13_D14,False
bmi,73713,-3,7,HoloVTA_pretrain,191009_NVI13_D14,False
holo,106,-119,6,HoloVTA_pretrain,191009_NVI13_D14,False
frames,3000,0,1,holostim_seq,191009_NVI13_D14,False
reward,0,0,5,holostim_seq,191009_NVI13_D14,False
bmi,3000,0,1,holostim_seq,191009_NVI13_D14,False
holo,45,0,6,holostim_seq,191009_NVI13_D14,False
frames,27000,0,1,baseline,191009_NVI16_D14,False
reward,0,0,5,baseline,191009_NVI16_D14,False
bmi,26595,-2,7,baseline,191009_NVI16_D14,False
holo,0,0,6,baseline,191009_NVI16_D14,False
frames,75600,0,1,BMI,191009_NVI16_D14,False
reward,13,0,5,BMI,191009_NVI16_D14,False
bmi,74461,-2,7,BMI,191009_NVI16_D14,False
holo,0,0,6,BMI,191009_NVI16_D14,False
frames,76629,0,1,HoloVTA_pretrain,191009_NVI16_D14,False
reward,101,0,5,HoloVTA_pretrain,191009_NVI16_D14,False
bmi,75621,-2,7,HoloVTA_pretrain,191009_NVI16_D14,False
holo,113,-112,6,HoloVTA_pretrain,191009_NVI16_D14,False
frames,2400,0,1,holostim_seq,191009_NVI16_D14,False
reward,0,0,5,holostim_seq,191009_NVI16_D14,False
bmi,2400,-1,1,holostim_seq,191009_NVI16_D14,False
holo,36,0,6,holostim_seq,191009_NVI16_D14,False
frames,27000,0,1,baseline,191011_NVI12_D16,False
reward,0,0,5,baseline,191011_NVI12_D16,False
bmi,26548,-2,7,baseline,191011_NVI12_D16,False
holo,0,0,6,baseline,191011_NVI12_D16,False
frames,75600,0,1,BMI,191011_NVI12_D16,False
reward,35,-4,5,BMI,191011_NVI12_D16,False
bmi,74522,-3,7,BMI,191011_NVI12_D16,False
holo,0,0,6,BMI,191011_NVI12_D16,False
frames,109678,0,1,HoloVTA_pretrain,191011_NVI12_D16,False
reward,72,0,5,HoloVTA_pretrain,191011_NVI12_D16,False
bmi,108001,0,7,HoloVTA_pretrain,191011_NVI12_D16,False
holo,136,-89,6,HoloVTA_pretrain,191011_NVI12_D16,False
frames,5300,0,1,holostim_seq,191011_NVI12_D16,False
reward,0,0,5,holostim_seq,191011_NVI12_D16,False
bmi,5296,-1,7,holostim_seq,191011_NVI12_D16,False
holo,81,0,6,holostim_seq,191011_NVI12_D16,False
frames,27000,0,1,baseline,191011_NVI13_D16,False
reward,0,0,5,baseline,191011_NVI13_D16,False
bmi,26633,-1,7,baseline,191011_NVI13_D16,False
holo,0,0,6,baseline,191011_NVI13_D16,False
frames,75600,0,1,BMI,191011_NVI13_D16,False
reward,10,0,5,BMI,191011_NVI13_D16,False
bmi,74643,-2,7,BMI,191011_NVI13_D16,False
holo,0,0,6,BMI,191011_NVI13_D16,False
frames,78257,0,1,HoloVTA_pretrain,191011_NVI13_D16,False
reward,100,0,5,HoloVTA_pretrain,191011_NVI13_D16,False
bmi,77324,-2,7,HoloVTA_pretrain,191011_NVI13_D16,False
holo,117,-108,6,HoloVTA_pretrain,191011_NVI13_D16,False
