Variable,Peaks,Min_Diff,Sugg_Input,Voltage_File,Experiment,Limit_Size,Prev_Min_Diff
holo,106,1.0,6,HoloVTA_pretrain,191009/NVI13/D14,False,
frames,3000,0.0,1,holostim_seq,191009/NVI13/D14,False,
reward,0,0.0,5,holostim_seq,191009/NVI13/D14,False,
bmi,2999,-1.0,7,holostim_seq,191009/NVI13/D14,False,
holo,45,0.0,6,holostim_seq,191009/NVI13/D14,False,
frames,27000,0.0,1,baseline,191009/NVI16/D14,False,
reward,0,0.0,5,baseline,191009/NVI16/D14,False,
bmi,26595,-2.0,7,baseline,191009/NVI16/D14,False,
holo,0,0.0,6,baseline,191009/NVI16/D14,False,
frames,75600,0.0,1,BMI,191009/NVI16/D14,False,
reward,13,0.0,5,BMI,191009/NVI16/D14,False,
bmi,74461,0.0,7,BMI,191009/NVI16/D14,False,
holo,0,0.0,6,BMI,191009/NVI16/D14,False,
frames,76629,0.0,1,HoloVTA_pretrain,191009/NVI16/D14,False,
reward,101,0.0,5,HoloVTA_pretrain,191009/NVI16/D14,False,
bmi,75621,0.0,7,HoloVTA_pretrain,191009/NVI16/D14,False,
holo,113,1.0,6,HoloVTA_pretrain,191009/NVI16/D14,False,
frames,2400,0.0,1,holostim_seq,191009/NVI16/D14,False,
reward,0,0.0,5,holostim_seq,191009/NVI16/D14,False,
bmi,2400,-1.0,7,holostim_seq,191009/NVI16/D14,False,
holo,36,0.0,6,holostim_seq,191009/NVI16/D14,False,
frames,27000,0.0,1,baseline,191011/NVI12/D16,False,
reward,0,0.0,5,baseline,191011/NVI12/D16,False,
bmi,26548,-2.0,7,baseline,191011/NVI12/D16,False,
holo,0,0.0,6,baseline,191011/NVI12/D16,False,
frames,75600,0.0,1,BMI,191011/NVI12/D16,False,
reward,39,0.0,5,BMI,191011/NVI12/D16,False,
bmi,74522,-1.0,7,BMI,191011/NVI12/D16,False,
holo,0,0.0,6,BMI,191011/NVI12/D16,False,
frames,109678,0.0,1,HoloVTA_pretrain,191011/NVI12/D16,False,
reward,72,0.0,5,HoloVTA_pretrain,191011/NVI12/D16,False,
bmi,108001,1.0,7,HoloVTA_pretrain,191011/NVI12/D16,False,
holo,136,1.0,6,HoloVTA_pretrain,191011/NVI12/D16,False,
frames,5300,0.0,1,holostim_seq,191011/NVI12/D16,False,
reward,0,0.0,5,holostim_seq,191011/NVI12/D16,False,
bmi,5296,-1.0,7,holostim_seq,191011/NVI12/D16,False,
holo,81,0.0,6,holostim_seq,191011/NVI12/D16,False,
frames,27000,0.0,1,baseline,191011/NVI13/D16,False,
reward,0,0.0,5,baseline,191011/NVI13/D16,False,
bmi,26633,-1.0,7,baseline,191011/NVI13/D16,False,
holo,0,0.0,6,baseline,191011/NVI13/D16,False,
frames,75600,0.0,1,BMI,191011/NVI13/D16,False,
reward,10,0.0,5,BMI,191011/NVI13/D16,False,
bmi,74643,0.0,7,BMI,191011/NVI13/D16,False,
holo,0,0.0,6,BMI,191011/NVI13/D16,False,
frames,78257,0.0,1,HoloVTA_pretrain,191011/NVI13/D16,False,
reward,100,0.0,5,HoloVTA_pretrain,191011/NVI13/D16,False,
bmi,77324,0.0,7,HoloVTA_pretrain,191011/NVI13/D16,False,
holo,117,1.0,6,HoloVTA_pretrain,191011/NVI13/D16,False,
frames,3000,0.0,1,holostim_seq,191011/NVI13/D16,False,
reward,0,0.0,5,holostim_seq,191011/NVI13/D16,False,
bmi,2999,-1.0,7,holostim_seq,191011/NVI13/D16,False,
holo,45,0.0,6,holostim_seq,191011/NVI13/D16,False,
frames,27000,0.0,1,baseline,191013/NVI12/D18,False,
reward,0,0.0,5,baseline,191013/NVI12/D18,False,
bmi,26584,-1.0,7,baseline,191013/NVI12/D18,False,
holo,0,0.0,6,baseline,191013/NVI12/D18,False,
frames,75600,0.0,1,BMI,191013/NVI12/D18,False,
reward,22,0.0,5,BMI,191013/NVI12/D18,False,
bmi,74415,-4.0,7,BMI,191013/NVI12/D18,False,
holo,0,0.0,6,BMI,191013/NVI12/D18,False,
frames,78885,0.0,1,HoloVTA_pretrain,191013/NVI12/D18,False,
reward,103,0.0,5,HoloVTA_pretrain,191013/NVI12/D18,False,
bmi,77874,-3.0,7,HoloVTA_pretrain,191013/NVI12/D18,False,
holo,111,1.0,6,HoloVTA_pretrain,191013/NVI12/D18,False,
frames,4900,0.0,1,holostim_seq,191013/NVI12/D18,False,
reward,0,0.0,5,holostim_seq,191013/NVI12/D18,False,
bmi,4895,-2.0,7,holostim_seq,191013/NVI12/D18,False,
holo,75,0.0,6,holostim_seq,191013/NVI12/D18,False,
frames,27000,0.0,1,baseline,191013/NVI13/D18,False,
reward,0,0.0,5,baseline,191013/NVI13/D18,False,
bmi,26077,-3.0,7,baseline,191013/NVI13/D18,False,
holo,0,0.0,6,baseline,191013/NVI13/D18,False,
frames,75600,0.0,1,BMI,191013/NVI13/D18,False,
reward,12,0.0,5,BMI,191013/NVI13/D18,False,
bmi,74659,1.0,7,BMI,191013/NVI13/D18,False,
holo,0,0.0,6,BMI,191013/NVI13/D18,False,
frames,75512,0.0,1,HoloVTA_pretrain,191013/NVI13/D18,False,
reward,100,0.0,5,HoloVTA_pretrain,191013/NVI13/D18,False,
bmi,74512,0.0,7,HoloVTA_pretrain,191013/NVI13/D18,False,
holo,114,1.0,6,HoloVTA_pretrain,191013/NVI13/D18,False,
frames,2600,0.0,1,holostim_seq,191013/NVI13/D18,False,
reward,0,0.0,5,holostim_seq,191013/NVI13/D18,False,
bmi,2600,-1.0,7,holostim_seq,191013/NVI13/D18,False,
holo,39,0.0,6,holostim_seq,191013/NVI13/D18,False,
frames,72000,0.0,1,baseline,191015/NVI13/D20,False,
reward,0,0.0,5,baseline,191015/NVI13/D20,False,
bmi,69890,-1.0,7,baseline,191015/NVI13/D20,False,
holo,0,0.0,6,baseline,191015/NVI13/D20,False,
frames,75600,0.0,1,BMI,191015/NVI13/D20,False,
reward,30,0.0,5,BMI,191015/NVI13/D20,False,
bmi,74369,-1.0,7,BMI,191015/NVI13/D20,False,
holo,0,0.0,6,BMI,191015/NVI13/D20,False,
frames,76495,0.0,1,HoloVTA_pretrain,191015/NVI13/D20,False,
reward,102,0.0,5,HoloVTA_pretrain,191015/NVI13/D20,False,
bmi,75382,0.0,7,HoloVTA_pretrain,191015/NVI13/D20,False,
holo,110,1.0,6,HoloVTA_pretrain,191015/NVI13/D20,False,
frames,2800,0.0,1,holostim_seq,191015/NVI13/D20,False,
reward,0,0.0,5,holostim_seq,191015/NVI13/D20,False,
bmi,2800,-1.0,7,holostim_seq,191015/NVI13/D20,False,
holo,41,0.0,6,holostim_seq,191015/NVI13/D20,False,
frames,72000,0.0,1,baseline,191015/NVI16/D20,False,
reward,0,0.0,5,baseline,191015/NVI16/D20,False,
bmi,70954,-2.0,7,baseline,191015/NVI16/D20,False,
holo,0,0.0,6,baseline,191015/NVI16/D20,False,
frames,75600,0.0,1,BMI,191015/NVI16/D20,False,
reward,7,0.0,5,BMI,191015/NVI16/D20,False,
bmi,73373,-1.0,7,BMI,191015/NVI16/D20,False,
holo,0,0.0,6,BMI,191015/NVI16/D20,False,
frames,76299,0.0,1,HoloVTA_pretrain,191015/NVI16/D20,False,
reward,104,0.0,5,HoloVTA_pretrain,191015/NVI16/D20,False,
bmi,75286,-1.0,7,HoloVTA_pretrain,191015/NVI16/D20,False,
holo,108,1.0,6,HoloVTA_pretrain,191015/NVI16/D20,False,
frames,3800,0.0,1,holostim_seq,191015/NVI16/D20,False,
reward,0,0.0,5,holostim_seq,191015/NVI16/D20,False,
bmi,3798,-1.0,7,holostim_seq,191015/NVI16/D20,False,
holo,58,0.0,6,holostim_seq,191015/NVI16/D20,False,
frames,72000,0.0,1,baseline,191017/NVI12/D22,False,
reward,0,0.0,5,baseline,191017/NVI12/D22,False,
bmi,70724,-2.0,7,baseline,191017/NVI12/D22,False,
holo,0,0.0,6,baseline,191017/NVI12/D22,False,
frames,75600,0.0,1,BMI,191017/NVI12/D22,False,
reward,6,0.0,5,BMI,191017/NVI12/D22,False,
bmi,74526,0.0,7,BMI,191017/NVI12/D22,False,
holo,0,0.0,6,BMI,191017/NVI12/D22,False,
frames,80244,0.0,1,HoloVTA_pretrain,191017/NVI12/D22,False,
reward,100,0.0,5,HoloVTA_pretrain,191017/NVI12/D22,False,
